Id,Vykazovane_zjisteno_mvcr,Vykazovane_objasneno_mvcr,FK_Crime_Lookup,FK_Area_Lookup,FK_Time_Range,Vykazovane_zjisteno_mesic,Vykazovane_objasneno_mesic,FK_District_Lookup
1,1970,682,1,1,1,1970,682,0
2,248,67,1,2,1,248,67,0
3,206,51,1,3,1,206,51,0
4,120,52,1,4,1,120,52,0
5,79,33,1,5,1,79,33,0
6,243,115,1,6,1,243,115,0
7,78,28,1,7,1,78,28,0
8,174,53,1,8,1,174,53,0
9,307,73,1,9,1,307,73,0
10,148,43,1,10,1,148,43,0
11,75,26,1,11,1,75,26,0
12,49,14,1,12,1,49,14,0
13,59,22,1,13,1,59,22,0
14,117,62,1,14,1,117,62,0
15,67,43,1,15,1,67,43,0
16,56,13,1,0,1,56,13,1
17,45,7,1,0,1,45,7,2
18,82,29,1,0,1,82,29,3
19,65,18,1,0,1,65,18,4
20,0,0,1,0,1,0,0,5
21,20,8,1,0,1,20,8,6
22,10,2,1,0,1,10,2,7
23,36,3,1,0,1,36,3,8
24,18,5,1,0,1,18,5,9
25,9,6,1,0,1,9,6,10
26,14,8,1,0,1,14,8,11
27,10,3,1,0,1,10,3,12
28,13,1,1,0,1,13,1,13
29,33,7,1,0,1,33,7,14
30,11,2,1,0,1,11,2,15
31,8,2,1,0,1,8,2,16
32,13,3,1,0,1,13,3,17
33,11,1,1,0,1,11,1,18
34,23,10,1,0,1,23,10,19
35,15,5,1,0,1,15,5,20
36,26,16,1,0,1,26,16,21
37,12,4,1,0,1,12,4,22
38,7,2,1,0,1,7,2,23
39,11,4,1,0,1,11,4,24
40,26,11,1,0,1,26,11,25
41,6,3,1,0,1,6,3,26
42,13,6,1,0,1,13,6,27
43,42,11,1,0,1,42,11,28
44,0,0,1,0,1,0,0,29
45,3,2,1,0,1,3,2,30
46,8,5,1,0,1,8,5,31
47,7,6,1,0,1,7,6,32
48,43,18,1,0,1,43,18,33
49,48,22,1,0,1,48,22,34
50,38,17,1,0,1,38,17,35
51,24,8,1,0,1,24,8,36
52,28,21,1,0,1,28,21,37
53,24,17,1,0,1,24,17,38
54,38,12,1,0,1,38,12,39
55,21,5,1,0,1,21,5,40
56,8,4,1,0,1,8,4,41
57,17,5,1,0,1,17,5,42
58,8,4,1,0,1,8,4,43
59,24,10,1,0,1,24,10,44
60,0,0,1,0,1,0,0,45
61,81,29,1,0,1,81,29,46
62,24,14,1,0,1,24,14,47
63,12,1,1,0,1,12,1,48
64,19,4,1,0,1,19,4,49
65,16,1,1,0,1,16,1,50
66,22,4,1,0,1,22,4,51
67,0,0,1,0,1,0,0,52
68,0,0,1,0,1,0,0,53
69,21,5,1,0,1,21,5,54
70,18,7,1,0,1,18,7,55
71,94,21,1,0,1,94,21,56
72,29,7,1,0,1,29,7,57
73,23,8,1,0,1,23,8,58
74,122,25,1,0,1,122,25,59
75,0,0,1,0,1,0,0,60
76,42,3,1,0,1,42,3,61
77,43,16,1,0,1,43,16,62
78,25,8,1,0,1,25,8,63
79,11,4,1,0,1,11,4,64
80,27,12,1,0,1,27,12,65
81,14,5,1,0,1,14,5,66
82,23,8,1,0,1,23,8,67
83,13,6,1,0,1,13,6,68
84,25,7,1,0,1,25,7,69
85,14,3,1,0,1,14,3,70
86,11,2,1,0,1,11,2,71
87,12,4,1,0,1,12,4,72
88,8,4,1,0,1,8,4,73
89,4,1,1,0,1,4,1,74
90,11,3,1,0,1,11,3,75
91,27,15,1,0,1,27,15,76
92,14,3,1,0,1,14,3,77
93,7,1,1,0,1,7,1,78
94,0,0,1,0,1,0,0,79
95,35,18,1,0,1,35,18,80
96,36,21,1,0,1,36,21,81
97,36,21,1,0,1,36,21,82
98,10,2,1,0,1,10,2,83
99,10,6,1,0,1,10,6,84
100,25,12,1,0,1,25,12,85
101,32,25,1,0,1,32,25,86
102,0,0,1,0,1,0,0,87
103,177,72,2,1,1,177,72,0
104,15,2,2,2,1,15,2,0
105,23,5,2,3,1,23,5,0
106,5,2,2,4,1,5,2,0
107,7,4,2,5,1,7,4,0
108,24,13,2,6,1,24,13,0
109,9,5,2,7,1,9,5,0
110,18,5,2,8,1,18,5,0
111,25,10,2,9,1,25,10,0
112,12,5,2,10,1,12,5,0
113,4,0,2,11,1,4,0,0
114,3,2,2,12,1,3,2,0
115,11,6,2,13,1,11,6,0
116,16,11,2,14,1,16,11,0
117,5,2,2,15,1,5,2,0
118,2,0,2,0,1,2,0,1
119,4,1,2,0,1,4,1,2
120,3,1,2,0,1,3,1,3
121,6,0,2,0,1,6,0,4
122,0,0,2,0,1,0,0,5
123,0,0,2,0,1,0,0,6
124,1,0,2,0,1,1,0,7
125,5,1,2,0,1,5,1,8
