"Obec/město/KATASTR","Okres","Kraj","PČR útvar","Číslo katastru","Původní (chybné) zařazení/Poznámka","PRIORITA",,
"Praha","Praha","Hlavní město Praha","KŘP Praha",,,,"křp praha",
"Brno","Brno-město","Jihomoravský kraj","MŘ Brno",,,,"mř brno",
"Ostrava","Ostrava-město","Moravskoslezský kraj","MŘ Ostrava",,,,"mř ostrava",
"Plzeň","Plzeň-město","Plzeňský kraj","MŘ Plzeň",,,,"mř plzeň",
"Aš","Cheb","Karlovarský kraj","OOP Aš",,,,"oop aš","#N/A"
"Hranice","Cheb","Karlovarský kraj","OOP Aš",,,,"oop aš","#N/A"
"Krásná","Cheb","Karlovarský kraj","OOP Aš",,,,"oop aš","#N/A"
"Podhradí","Cheb","Karlovarský kraj","OOP Aš",,,,"oop aš",
"Bechyně","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Bečice","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Březnice","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Černýšovice","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Dobronice u Bechyně","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Haškovcova Lhota","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Hodětín","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Hodonice","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Malšice","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Opařany","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Radětice","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Rataje","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Řepeč","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Stádlec","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Sudoměřice u Bechyně","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Záhoří","Tábor","Jihočeský kraj","OOP Bechyně",,,,"oop bechyně",
"Bečov nad Teplou","Karlovy Vary","Karlovarský kraj","OOP Bečov nad Teplou",,,,"oop bečov nad teplou",
"Chodov","Karlovy Vary","Karlovarský kraj","OOP Bečov nad Teplou",,,,"oop bečov nad teplou",
"Kolová","Karlovy Vary","Karlovarský kraj","OOP Bečov nad Teplou",,,,"oop bečov nad teplou",
"Pila","Karlovy Vary","Karlovarský kraj","OOP Bečov nad Teplou",,,,"oop bečov nad teplou",
"Stanovice","Karlovy Vary","Karlovarský kraj","OOP Bečov nad Teplou",,,,"oop bečov nad teplou",
"Teplička","Karlovy Vary","Karlovarský kraj","OOP Bečov nad Teplou",,,,"oop bečov nad teplou",
"CIHELNY","Karlovy Vary","Karlovarský kraj","OOP Bečov nad Teplou",631043,"OOP Karlovy Vary",2,"oop bečov nad teplou",
"Bělá pod Bezdězem","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Boreč","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Březovice","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Čistá","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Doubravička","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Katusice","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Kluky","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
"Kováň","Mladá Boleslav","Středočeský kraj","OOP Bělá pod Bezdězem",,,,"oop bělá pod bezdězem",
