"KOD_ZSJ","MOP"
396,"OOP Slezská Ostrava"
1520,"MOP Újezd nad Lesy Praha III."
1538,"MOP Újezd nad Lesy Praha III."
2585,"MOP Uhříněves Praha IV."
8508,"OOP Brno - výstaviště"
10006,"OOP Brno - střed"
10014,"OOP Brno - střed"
10022,"OOP Brno - střed"
10031,"OOP Brno - střed"
10049,"OOP Brno - střed"
10057,"OOP Brno - střed"
10065,"OOP Brno - střed"
10073,"OOP Brno - střed"
10081,"OOP Brno - Žabovřesky"
10090,"OOP Brno - Žabovřesky"
10103,"OOP Brno - výstaviště"
10111,"OOP Brno - výstaviště"
10120,"OOP Brno - výstaviště"
10138,"OOP Brno - výstaviště"
10146,"OOP Brno - výstaviště"
10154,"OOP Brno - výstaviště"
10162,"OOP Brno - výstaviště"
10171,"OOP Brno - výstaviště"
10189,"OOP Brno - výstaviště"
10197,"OOP Brno - Žabovřesky"
10201,"OOP Brno - výstaviště"
10219,"OOP Brno - Žabovřesky"
10227,"OOP Brno - Žabovřesky"
10235,"OOP Brno - výstaviště"
10243,"OOP Brno - výstaviště"
10251,"OOP Brno - výstaviště"
10260,"OOP Brno - výstaviště"
10278,"OOP Brno - výstaviště"
10286,"OOP Brno - výstaviště"
10294,"OOP Brno - výstaviště"
10308,"OOP Brno - výstaviště"
10316,"OOP Brno - výstaviště"
10324,"OOP Brno - Žabovřesky"
10332,"OOP Brno - Žabovřesky"
10341,"OOP Brno - Žabovřesky"
10359,"OOP Brno - Žabovřesky"
10367,"OOP Brno - Žabovřesky"
10375,"OOP Brno - Žabovřesky"
10383,"OOP Brno - Žabovřesky"
10391,"OOP Brno - Žabovřesky"
10405,"OOP Brno - Žabovřesky"
10413,"OOP Brno - Žabovřesky"
10421,"OOP Brno - Žabovřesky"
10430,"OOP Brno - Žabovřesky"
10448,"OOP Brno - Žabovřesky"
10456,"OOP Brno - Žabovřesky"
10464,"OOP Brno - Žabovřesky"
10472,"OOP Brno - Žabovřesky"
10481,"OOP Brno - Žabovřesky"
10499,"OOP Brno - Žabovřesky"
10502,"OOP Brno - Žabovřesky"
10511,"OOP Brno - Žabovřesky"
10529,"OOP Brno - Žabovřesky"
10537,"OOP Brno - Bystrc"
10545,"OOP Brno - Bystrc"
10553,"OOP Brno - Bystrc"
10561,"OOP Brno - Bystrc"
10570,"OOP Brno - Bystrc"
10588,"OOP Brno - Žabovřesky"
10596,"OOP Brno - Žabovřesky"
10600,"OOP Brno - Žabovřesky"
10618,"OOP Brno - Žabovřesky"
10626,"OOP Brno - Bystrc"
10634,"OOP Brno - Bystrc"
10642,"OOP Brno - Žabovřesky"
10651,"OOP Brno - Bystrc"
10669,"OOP Brno - Žabovřesky"
10677,"OOP Brno - sever"
10685,"OOP Brno - sever"
10693,"OOP Brno - sever"
10707,"OOP Brno - sever"
10715,"OOP Brno - sever"
10723,"OOP Brno - sever"
10731,"OOP Brno - sever"
10740,"OOP Brno - sever"
10758,"OOP Brno - sever"
10766,"OOP Brno - Královo Pole"
10774,"OOP Brno - sever"
10782,"OOP Brno - sever"
10791,"OOP Brno - sever"
10804,"OOP Brno - sever"
10812,"OOP Brno - sever"
10821,"OOP Brno - sever"
10839,"OOP Brno - sever"
10847,"OOP Brno - sever"
10855,"OOP Brno - sever"
10863,"OOP Brno - sever"
10871,"OOP Brno - sever"
10880,"OOP Brno - sever"
10898,"OOP Brno - sever"
10901,"OOP Brno - sever"
10910,"OOP Brno - sever"
10928,"OOP Brno - sever"
10936,"OOP Brno - sever"
10952,"OOP Brno - Židenice"
10961,"OOP Brno - Židenice"
10979,"OOP Brno - Komárov"
10987,"OOP Brno - Komárov"
10995,"OOP Brno - Komárov"
11011,"OOP Brno - Komárov"
11029,"OOP Brno - Komárov"
11037,"OOP Brno - Komárov"
11045,"OOP Brno - Komárov"
11053,"OOP Brno - Komárov"
11061,"OOP Brno - Komárov"
11070,"OOP Brno - Komárov"
11088,"OOP Brno - Židenice"
11096,"OOP Brno - Židenice"
11100,"OOP Brno - Židenice"
11118,"OOP Brno - Židenice"
11126,"OOP Brno - Židenice"
11134,"OOP Brno - Židenice"
11142,"OOP Brno - Židenice"
11151,"OOP Brno - Židenice"
11169,"OOP Brno - Židenice"
11185,"OOP Brno - Židenice"
11193,"OOP Brno - Židenice"
11207,"OOP Brno - Židenice"
11215,"OOP Brno - Židenice"
11223,"OOP Brno - Komárov"
11231,"OOP Brno - Komárov"
11240,"OOP Brno - Komárov"
11258,"OOP Brno - Komárov"
11266,"OOP Brno - Komárov"
11274,"OOP Brno - Komárov"
11282,"OOP Brno - Komárov"
11291,"OOP Brno - Komárov"
11304,"OOP Brno - Komárov"
11321,"OOP Brno - Židenice"
11339,"OOP Brno - Židenice"
11347,"OOP Brno - Královo Pole"
11363,"OOP Brno - Královo Pole"
11371,"OOP Brno - Královo Pole"
11380,"OOP Brno - Královo Pole"
11398,"OOP Brno - Královo Pole"
11401,"OOP Brno - Královo Pole"
11436,"OOP Brno - Královo Pole"
11444,"OOP Brno - Královo Pole"
11452,"OOP Brno - Královo Pole"
11461,"OOP Brno - Královo Pole"
11479,"OOP Brno - Královo Pole"
11487,"OOP Brno - sever"
11495,"OOP Brno - sever"
11509,"OOP Brno - Královo Pole"
11517,"OOP Brno - Královo Pole"
11525,"OOP Brno - Královo Pole"
11533,"OOP Brno - Královo Pole"
11541,"OOP Brno - Královo Pole"
11550,"OOP Brno - Královo Pole"
11568,"OOP Brno - Královo Pole"
11576,"OOP Brno - Královo Pole"
11584,"OOP Brno - Královo Pole"
11592,"OOP Brno - Královo Pole"
11606,"OOP Brno - Královo Pole"
11614,"OOP Brno - Královo Pole"
11622,"OOP Brno - Královo Pole"
11631,"OOP Brno - Královo Pole"
11649,"OOP Brno - Královo Pole"
11657,"OOP Brno - Královo Pole"
11665,"OOP Brno - Královo Pole"
11673,"OOP Brno - Královo Pole"
11681,"OOP Brno - Královo Pole"
11690,"OOP Brno - Královo Pole"
11703,"OOP Brno - Královo Pole"
11720,"OOP Brno - Královo Pole"
11738,"OOP Brno - Královo Pole"
11746,"OOP Brno - Královo Pole"
11754,"OOP Brno - Královo Pole"
11762,"OOP Brno - Královo Pole"
11771,"OOP Brno - Bystrc"
11789,"OOP Brno - Bystrc"
11797,"OOP Brno - Bystrc"
11801,"OOP Brno - Bystrc"
11819,"OOP Brno - Bystrc"
11827,"OOP Brno - Bystrc"
11835,"OOP Brno - Bystrc"
11843,"OOP Brno - Bystrc"
11851,"OOP Brno - Bystrc"
11860,"OOP Brno - Bystrc"
11878,"OOP Brno - Bystrc"
11886,"OOP Brno - Bystrc"
11894,"OOP Brno - Bystrc"
11908,"OOP Brno - Bystrc"
11916,"OOP Brno - Bystrc"
11924,"OOP Brno - Bystrc"
11932,"OOP Brno - Bystrc"
11941,"OOP Brno - Bystrc"
11959,"OOP Brno - Bystrc"
11967,"OOP Brno - výstaviště"
11975,"OOP Brno - výstaviště"
11983,"OOP Brno - výstaviště"
11991,"OOP Brno - výstaviště"
12009,"OOP Brno - výstaviště"
12017,"OOP Brno - výstaviště"
12033,"OOP Brno - výstaviště"
12041,"OOP Brno - výstaviště"
12050,"OOP Brno - výstaviště"
12068,"OOP Brno - Komárov"
12076,"OOP Brno - Komárov"
12084,"OOP Brno - Komárov"
12092,"OOP Brno - Komárov"
12106,"OOP Brno - Komárov"
12114,"OOP Brno - Komárov"
12122,"OOP Brno - Komárov"
12131,"OOP Brno - Komárov"
12149,"OOP Brno - Komárov"
12157,"OOP Brno - Komárov"
12165,"OOP Brno - Komárov"
12173,"OOP Brno - Komárov"
12190,"OOP Brno - Komárov"
12203,"OOP Brno - Komárov"
12211,"OOP Brno - Komárov"
12220,"OOP Brno - Komárov"
12238,"OOP Brno - Komárov"
12246,"OOP Brno - Komárov"
12271,"OOP Brno - Komárov"
12289,"OOP Brno - Židenice"
12301,"OOP Brno - Židenice"
12319,"OOP Brno - Židenice"
12327,"OOP Brno - Židenice"
12335,"OOP Brno - Židenice"
12343,"OOP Brno - Židenice"
12351,"OOP Brno - Židenice"
12360,"OOP Brno - Židenice"
12378,"OOP Brno - Židenice"
12386,"OOP Brno - Židenice"
12394,"OOP Brno - Židenice"
12408,"OOP Brno - Židenice"
12416,"OOP Brno - Židenice"
12424,"OOP Brno - Židenice"
12441,"OOP Brno - Židenice"
12459,"OOP Brno - Židenice"
12467,"OOP Brno - Židenice"
12475,"OOP Brno - Židenice"
12483,"OOP Brno - sever"
12491,"OOP Brno - sever"
12505,"OOP Brno - sever"
12513,"OOP Brno - sever"
12521,"OOP Brno - sever"
12530,"OOP Brno - sever"
12556,"OOP Brno - sever"
12564,"OOP Brno - sever"
12572,"OOP Brno - sever"
12581,"OOP Brno - sever"
12599,"OOP Brno - sever"
14133,"MOP Ďáblice Praha III."
18759,"OOP Ostrava - Poruba 2"
20109,"OOP Plzeň 2"
