N_GEO_1,C,36,N_OBECKOD,N,9,2,N_OBEC,C,37,N_CASTOBCE,N,9,2,N_KU,N,9,2,N_CASTOBC2,C,37,N_ZSJKOD,N,9,2,N_ZSJ,C,36,N_OBVYKLEB,N,8,2,N_TRVALEB,N,8,2,N_KRAJKOD,C,5,N_KRAJ,C,15,N_OKRESKOD,C,6,N_OKRES,C,19,N_ORPKOD,N,7,2,N_ORP,C,32,N_OOP,C,32,N_OOPMOP,C,33,N_AREAKM2,C,13
Bobnice,537039,Bobnice,5843,605841,Bobnice,5843,Bobnice,647,642,CZ020,Středočeský,CZ0208,Nymburk,2118,Nymburk,OOP Nymburk,OOP Nymburk,7.3988608353
Boč,555584,Stráž nad Ohří,5894,605891,Boč,5894,Boč,70,70,CZ041,Karlovarský,CZ0412,Karlovy Vary,4106,Ostrov,OOP Ostrov,OOP Ostrov,3.506719583
Smilov,555584,Stráž nad Ohří,5908,605905,Smilov,5908,Smilov,24,26,CZ041,Karlovarský,CZ0412,Karlovy Vary,4106,Ostrov,OOP Ostrov,OOP Ostrov,2.7465403141
Srní,555584,Stráž nad Ohří,5916,605913,Srní,5916,Srní,5,8,CZ041,Karlovarský,CZ0412,Karlovy Vary,4106,Ostrov,OOP Ostrov,OOP Ostrov,4.7337229335
Malý Hrzín,555584,Stráž nad Ohří,5924,605921,Malý Hrzín,5924,Malý Hrzín,1,2,CZ041,Karlovarský,CZ0412,Karlovy Vary,4106,Ostrov,OOP Ostrov,OOP Ostrov,2.2215410308
Manerov,592901,Bohdalice-Pavlovice,6041,606031,Manerov,6041,Manerov,190,202,CZ064,Jihomoravský,CZ0646,Vyškov,6219,Vyškov,OOP Bučovice,OOP Bučovice,0.578313288
Bohdalice,592901,Bohdalice-Pavlovice,6033,606031,Bohdalice,6033,Bohdalice,473,496,CZ064,Jihomoravský,CZ0646,Vyškov,6219,Vyškov,OOP Bučovice,OOP Bučovice,4.3906659904
Bohdalín,547549,Bohdalín,6068,606065,Bohdalín,6068,Bohdalín,190,193,CZ063,Vysočina,CZ0633,Pelhřimov,6110,Pelhřimov,OOP Kamenice nad Lipou,OOP Kamenice nad Lipou,7.7482564347
Lázně Bohdaneč,574767,Lázně Bohdaneč,6173,606171,Lázně Bohdaneč,6173,Lázně Bohdaneč,3349,3370,CZ053,Pardubický,CZ0532,Pardubice,5309,Pardubice,OOP Lázně Bohdaneč,OOP Lázně Bohdaneč,21.7867708596
Bohostice,564559,Bohostice,6262,606260,Bohostice,6262,Bohostice,191,188,CZ020,Středočeský,CZ020B,Příbram,2120,Příbram,OOP Milín,OOP Milín,4.9802938247
Bohouňovice I,533262,Červené Pečky,6297,606294,Bohouňovice I,6297,Bohouňovice I,144,145,CZ020,Středočeský,CZ0204,Kolín,2110,Kolín,OOP Kolín,OOP Kolín,2.9972791899
Bohumilice,550116,Bohumilice,6378,606375,Bohumilice,6378,Bohumilice,321,314,CZ031,Jihočeský,CZ0315,Prachatice,3116,Vimperk,OOP Vimperk,OOP Vimperk,3.4218426482
Bohumilice,584550,Klobouky u Brna,6386,606383,Bohumilice,6386,Bohumilice,228,257,CZ064,Jihomoravský,CZ0644,Břeclav,6207,Hustopeče,OOP Hustopeče,OOP Hustopeče,5.6387343359
Bohuňovice,577821,Bohuňovice,6424,606421,Bohuňovice,6424,Bohuňovice,113,112,CZ053,Pardubický,CZ0533,Svitavy,5307,Litomyšl,OOP Litomyšl,OOP Litomyšl,4.2306323357
Bohuňovice,500852,Bohuňovice,6432,606430,Bohuňovice,6432,Bohuňovice,1159,1229,CZ071,Olomoucký,CZ0712,Olomouc,7107,Olomouc,OOP Šternberk,OOP Šternberk,4.2770242868
Moravská Loděnice,500852,Bohuňovice,6432,606448,Bohuňovice,6441,Moravská Loděnice,850,868,CZ071,Olomoucký,CZ0712,Olomouc,7107,Olomouc,OOP Šternberk,OOP Šternberk,6.2106507634
Zbytky,573892,Bohuslavice,6467,606464,Bohuslavice,6475,Zbytky,0,0,CZ052,Královéhradecký,CZ0523,Náchod,5211,Nové Město nad Metují,OOP Nové Město nad Metují,OOP Nové Město nad Metují,0.952054976
Bohuslavice,573892,Bohuslavice,6467,606464,Bohuslavice,6467,Bohuslavice,1000,1000,CZ052,Královéhradecký,CZ0523,Náchod,5211,Nové Město nad Metují,OOP Nové Město nad Metují,OOP Nové Město nad Metují,13.1759735173
Abertamy,554979,Abertamy,19,600016,Abertamy,19,Abertamy,1157,1241,CZ041,Karlovarský,CZ0412,Karlovy Vary,4106,Ostrov,OOP Pernink,OOP Pernink,4.4958149397
Albeř,546798,Nová Bystřice,78,600075,Albeř,78,Albeř,144,133,CZ031,Jihočeský,CZ0313,Jindřichův Hradec,3105,Jindřichův Hradec,OOP Nová Bystřice,OOP Nová Bystřice,8.8936510661
Jezeří,567175,Horní Jiřetín,108,600105,Jezeří,108,Jezeří,0,0,CZ042,Ústecký,CZ0425,Most,4206,Litvínov,OOP Litvínov - Hamr,OOP Litvínov - Hamr,10.3954399205
Pardubice,598925,Albrechtice,124,600121,Albrechtice,167,Pardubice,493,498,CZ080,Moravskoslezský,CZ0803,Karviná,8108,Havířov,OOP Těrlicko,OOP Těrlicko,4.4408823431
Pacalůvka I,598925,Albrechtice,124,600121,Albrechtice,159,Pacalůvka I,408,408,CZ080,Moravskoslezský,CZ0803,Karviná,8108,Havířov,OOP Těrlicko,OOP Těrlicko,0.3976156303
Nový Svět II,598925,Albrechtice,124,600121,Albrechtice,141,Nový Svět II,299,300,CZ080,Moravskoslezský,CZ0803,Karviná,8108,Havířov,OOP Těrlicko,OOP Těrlicko,2.2546287812
Důlský,598925,Albrechtice,124,600121,Albrechtice,132,Důlský,208,214,CZ080,Moravskoslezský,CZ0803,Karviná,8108,Havířov,OOP Těrlicko,OOP Těrlicko,2.6657337795
Albrechtice,598925,Albrechtice,124,600121,Albrechtice,124,Albrechtice,2387,2513,CZ080,Moravskoslezský,CZ0803,Karviná,8108,Havířov,OOP Těrlicko,OOP Těrlicko,2.9288934273
Babí,579025,Trutnov,591,600598,Babí,591,Babí,109,111,CZ052,Královéhradecký,CZ0525,Trutnov,5214,Trutnov,OOP Trutnov,OOP Trutnov,11.3312305224
Babice nad Svitavou,582794,Babice nad Svitavou,698,600695,Babice nad Svitavou,698,Babice nad Svitavou,1021,1013,CZ064,Jihomoravský,CZ0643,Brno-venkov,6216,Šlapanice,OOP Šlapanice,OOP Šlapanice,17.4197083958
Babylon,553433,Babylon,710,600717,Babylon,710,Babylon,296,292,CZ032,Plzeňský,CZ0321,Domažlice,3202,Domažlice,OOP Domažlice,OOP Domažlice,6.6516862238
Bácovice,561118,Bácovice,728,600725,Bácovice,728,Bácovice,69,76,CZ063,Vysočina,CZ0633,Pelhřimov,6110,Pelhřimov,OOP Pelhřimov,OOP Pelhřimov,4.7222033369
Milotičky,547778,Červená Řečice,736,600733,Milotičky,736,Milotičky,19,15,CZ063,Vysočina,CZ0633,Pelhřimov,6110,Pelhřimov,OOP Pelhřimov,OOP Pelhřimov,1.804300214
Zboží,568651,Habry,809,600806,Zboží,809,Zboží,168,174,CZ063,Vysočina,CZ0631,Havlíčkův Brod,6102,Havlíčkův Brod,OOP Chotěboř,OOP Chotěboř,6.363914994
Mráchov,535427,Bakov nad Jizerou,402621,600831,Bakov nad Jizerou,307416,Mráchov,0,0,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,1.4589046173
U Jizery,535427,Bakov nad Jizerou,402621,600831,Bakov nad Jizerou,307408,U Jizery,4,1,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,3.0123743059
U školy,535427,Bakov nad Jizerou,402621,600831,Bakov nad Jizerou,307394,U školy,741,703,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,0.1977085079
Nad stráněmi,535427,Bakov nad Jizerou,402621,600831,Bakov nad Jizerou,307386,Nad stráněmi,694,684,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,0.5071444865
Trenčín,535427,Bakov nad Jizerou,402621,600831,Bakov nad Jizerou,307378,Trenčín,349,347,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,0.2554357764
Svatojánská,535427,Bakov nad Jizerou,402621,600831,Bakov nad Jizerou,307360,Svatojánská,1069,1067,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,0.6090355048
Studénka,535427,Bakov nad Jizerou,300101,600831,Studénka,300101,Studénka,4,1,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,2.5273212299
Bakov nad Jizerou-za náměstím,535427,Bakov nad Jizerou,402621,600831,Bakov nad Jizerou,833,Bakov nad Jizerou-za náměstím,871,970,CZ020,Středočeský,CZ0207,Mladá Boleslav,2115,Mladá Boleslav,OOP Mnichovo Hradiště,OOP Mnichovo Hradiště,0.6015486961
Bartošovice,599212,Bartošovice,973,600971,Bartošovice,973,Bartošovice,1278,1310,CZ080,Moravskoslezský,CZ0804,Nový Jičín,8115,Nový Jičín,OOP Studénka,OOP Studénka,19.1430030932
Vrchní Orlice,576093,Bartošovice v Orlických horách,981,601021,Bartošovice v Orlických horách,1023,Vrchní Orlice,1,1,CZ052,Královéhradecký,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,OOP Rokytnice v Orlických horách,OOP Rokytnice v Orlických horách,5.7510190826
Baška-u Pržna,598011,Baška,1066,601063,Baška,324981,Baška-u Pržna,128,127,CZ080,Moravskoslezský,CZ0802,Frýdek-Místek,8106,Frýdek-Místek,OOP Palkovice,OOP Palkovice,0.755258436
Baška,598011,Baška,1066,601063,Baška,1066,Baška,1580,1644,CZ080,Moravskoslezský,CZ0802,Frýdek-Místek,8106,Frýdek-Místek,OOP Palkovice,OOP Palkovice,4.5098826915
Kunčičky u Bašky,598011,Baška,1091,601098,Kunčičky u Bašky,1091,Kunčičky u Bašky,1040,1046,CZ080,Moravskoslezský,CZ0802,Frýdek-Místek,8106,Frýdek-Místek,OOP Palkovice,OOP Palkovice,2.2379657155
Hlíny,598011,Baška,1091,601098,Kunčičky u Bašky,1074,Hlíny,103,106,CZ080,Moravskoslezský,CZ0802,Frýdek-Místek,8106,Frýdek-Místek,OOP Palkovice,OOP Palkovice,2.2852490517
Bavory,584304,Bavory,1201,601209,Bavory,1201,Bavory,402,407,CZ064,Jihomoravský,CZ0644,Břeclav,6211,Mikulov,OOP Mikulov,OOP Mikulov,5.003632821
Poďousy,533181,Bečváry,1317,601314,Poďousy,1317,Poďousy,97,90,CZ020,Středočeský,CZ0204,Kolín,2110,Kolín,OOP Kouřim,OOP Kouřim,1.7259069099
Bedřichov,563536,Bedřichov,1368,601365,Bedřichov,1368,Bedřichov,300,314,CZ051,Liberecký,CZ0512,Jablonec nad Nisou,5103,Jablonec nad Nisou,OOP Jablonec N/Nisou Mšeno,OOP Jablonec N/Nisou Mšeno,24.2578973164
Běhařov,541842,Běhařov,1392,601390,Běhařov,1392,Běhařov,130,133,CZ032,Plzeňský,CZ0322,Klatovy,3205,Klatovy,OOP Nýrsko,OOP Nýrsko,3.2133789003
