Útěchov,Svitavy,Pardubický kraj,OOP Moravská Třebová,251.0
Vlčtejn,Plzeň-jih,Plzeňský kraj,OOP Blovice,97.0
Sazená,Kladno,Středočeský kraj,OOP Velvary,323.0
Střížovice,Kroměříž,Zlínský kraj,OOP Kroměříž,1211.0
Strakov,Svitavy,Pardubický kraj,OOP Litomyšl,218.0
Mařenice,Česká Lípa,Liberecký kraj,OOP Cvikov,354.0
Kocelovice,Strakonice,Jihočeský kraj,OOP Blatná,167.0
Časy,Pardubice,Pardubický kraj,OOP Pardubice 3,221.0
Slatinky,Prostějov,Olomoucký kraj,OOP Prostějov 1,574.0
Šindelová,Sokolov,Karlovarský kraj,OOP Rotava,284.0
Těně,Rokycany,Plzeňský kraj,OOP Hrádek,264.0
Žihobce,Klatovy,Plzeňský kraj,OOP Sušice,626.0
Říkovice,Přerov,Olomoucký kraj,OOP Přerov 1,491.0
Jedlí,Šumperk,Olomoucký kraj,OOP Zábřeh,692.0
Olší,Brno-venkov,Jihomoravský kraj,OOP Tišnov,349.0
Mrač,Benešov,Středočeský kraj,OOP Čerčany,766.0
Hošťalovice,Chrudim,Pardubický kraj,OOP Heřmanův Městec,140.0
Lančov,Znojmo,Jihomoravský kraj,OOP Vranov nad Dyjí,224.0
Svojetice,Praha-východ,Středočeský kraj,OOP Říčany,721.0
Skopytce,Tábor,Jihočeský kraj,OOP Sezimovo Ústí,150.0
Ločenice,České Budějovice,Jihočeský kraj,OOP Trhové Sviny,621.0
Děkov,Rakovník,Středočeský kraj,OOP Hořesedly,207.0
Vlkaneč,Kutná Hora,Středočeský kraj,OOP Čáslav,587.0
Soběraz,Jičín,Královéhradecký kraj,OOP Jičín,91.0
Sulkovec,Žďár nad Sázavou,Kraj Vysočina,OOP Bystřice nad Pernštejnem,186.0
Nahošovice,Přerov,Olomoucký kraj,OOP Přerov 1,174.0
Újezd u Plánice,Klatovy,Plzeňský kraj,OOP Plánice,113.0
Dolní Hradiště,Plzeň-sever,Plzeňský kraj,OOP Kralovice,40.0
Dobršín,Klatovy,Plzeňský kraj,OOP Sušice,104.0
Potěhy,Kutná Hora,Středočeský kraj,OOP Čáslav,606.0
Černá v Pošumaví,Český Krumlov,Jihočeský kraj,OOP Horní Planá,805.0
Přestavlky,Přerov,Olomoucký kraj,OOP Přerov 1,967.0
Sovínky,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,295.0
Ronov nad Doubravou,Chrudim,Pardubický kraj,OOP Třemošnice,1727.0
Chýšť,Pardubice,Pardubický kraj,OOP Lázně Bohdaneč,207.0
Horka,Chrudim,Pardubický kraj,OOP Chrast,398.0
Kořenice,Kolín,Středočeský kraj,OOP Kouřim,592.0
Řečice,Žďár nad Sázavou,Kraj Vysočina,OOP Nové Město na Moravě,625.0
Bohdalín,Pelhřimov,Kraj Vysočina,OOP Kamenice nad Lipou,193.0
Bítovany,Chrudim,Pardubický kraj,OOP Chrast,413.0
Vacovice,Strakonice,Jihočeský kraj,OOP Volyně,59.0
Horky,Svitavy,Pardubický kraj,OOP Litomyšl,496.0
Bernardov,Kutná Hora,Středočeský kraj,OOP Kutná Hora,179.0
Libňatov,Trutnov,Královéhradecký kraj,OOP Úpice,363.0
Klášterec nad Orlicí,Ústí nad Orlicí,Pardubický kraj,OOP Žamberk,904.0
Krušovice,Rakovník,Středočeský kraj,OOP Nové Strašecí,628.0
Hořice na Šumavě,Český Krumlov,Jihočeský kraj,OOP Horní Planá,808.0
Výrov,Plzeň-sever,Plzeňský kraj,OOP Kralovice,454.0
Křenovy,Domažlice,Plzeňský kraj,OOP Holýšov,144.0
Starý Poddvorov,Hodonín,Jihomoravský kraj,OOP Hodonín,977.0
Ledčice,Mělník,Středočeský kraj,OOP Lužec nad Vltavou,597.0
Červená Voda,Ústí nad Orlicí,Pardubický kraj,OOP Králíky,3103.0
Hurtova Lhota,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,220.0
Vlastějovice,Kutná Hora,Středočeský kraj,OOP Zruč nad Sázavou,481.0
