ÚTVAR,ADRESA,TELEFON,FAX,EMAIL
Krajské ředitelství policie hlavního města Prahy,"Kongresová 1666/2, 140 21 Praha 4",974821111,974825275,phars@mvcr.cz
"Územní odbory Praha I (obvody 1,6,7)","Bartolomějská 312/6, 110 00 Praha 1",974821111,974825275,orkrpi@mvcr.cz 
MOP Bartolomějská,"Bartolomějská 347/14, 110 00 Praha 1",974851700,974851708,p1mopbar@mvcr.cz
MOP Benediktská,"Benediktská 692/1, 110 00  Praha 1 ",974889210,974889221,p1mopben@mvcr.cz
MOP Krakovská,"Krakovská 1432/11, 110 00 Praha 1",974851720,974851728,p1mopkra@mvcr.cz
MOP Malá Strana,"Vlašská 362/3, 110 00 Praha 1",974851730,974851738,p1mopmal@mvcr.cz
MOP Můstek,"Jungmannovo nám. 771/9, 110 00 Praha 1",974851750,974851758,p1mopmus@mvcr.cz
MOP Břevnov,"Ve Střešovičkách 1990/55, 160 00 Praha 6",974856700,974856708,p1mopbre@mvcr.cz
MOP Dejvice,"Pelléova 1050/21, 160 00 Praha 6",974856740,974856748,p1mopdej@mvcr.cz
MOP Řepy,"Makovského 1349/13, 160 00 Praha 6",974856720,974856728,p1moprep@mvcr.cz
MOP Vokovice,"Arabská 782/16, 160 00 Praha 6",974856710,974856718,orkrpI@mvcr.cz 
MOP Ruzyně,"Aviatická 1050/16, 160 00 Praha 6",974856600,974856608,p1mopruz@mvcr.cz
MOP Holešovice,"Přístavní 1245/41, 170 00 Praha 7",974857710,974857718,p1mophol@mvcr.cz
MOP Letná,"Fr. Křížka 735/24, 170 00 Praha 7",974857700,974857708,p1mopltn@mvcr.cz
MOP Výstaviště,"Výstaviště 67 - budova J, 170 00 Praha 7",974857720,974857728,p1mopvst@mvcr.cz
MOP Masarykovo nádraží,"Havlíčkova 1014/2, 110 00  Praha 1 ",974851740,974851748,p1ozpmas@mvcr.cz 
MOP Holešovické nádraží,"Partyzánská 1546/26, 170 00  Praha 7 ",974857730,974857738,p1ozphol@mvcr.cz 
"Územní odbory Praha II (obvody 2,5)","Sokolská 1799/38, 120 00 Praha 2",974852111,974852458,or2kr@mvcr.cz
MOP Nové Město,"Vyšehradská  1711/20, 120 00 Praha 2",974852710,974852718,p2mopnov@mvcr.cz
MOP Vinohrady,"Šafaříkova 607/12, 120 00 Praha 2",974852720,974852728,p2mopvin@mvcr.cz
MOP Barrandov,"Werichova 981/21, 152 00 Praha 5",974855720,974855728,p2mopbrn@mvcr.cz
MOP Smíchov,"Na Bělidle 272/5, 150 00 Praha 5",974855700,974855708,p2mopsmi@mvcr.cz 
MOP Košíře,"Běhounkova 2301/19, 158 00 Praha 5",974855710,974855718,p2mopkos@mvcr.cz
MOP Radotín,"Výpadová 1335, 153 00 Praha 5",974855730,974855738,p2moprad@mvcr.cz
MOP Stodůlky,"Mukařovského 1985/5, 155 00 Praha 5",974855740,974855748,p2mopsto@mvcr.cz
MOP Zličín,"Strojírenská 386/12, 150 00 Praha 5",974855770,974855778,p2mopzli@mvcr.cz
MOP Wilsonovo nádraží,"Wilsonova třída 300/8, 120 00  Praha 2 ",974852740,974852748,p2opzpwils@mvcr.cz 
MOP Smíchovské nádraží,"Nádražní 279/1, 150 05  Praha 5 ",974855750,257322349,p2ozpsmi@mvcr.cz 
"Územní odbory Praha III (obvody 3,8,9)","Trousilova 1121/3, 182 00 Praha 8",974858229,974858228,redp13@mvcr.cz 
MOP Jarov,"Koněvova 2743/103, 130 00 Praha 3",974853700,974853708,p3mopjar@mvcr.cz
MOP Žižkov,"Lipanská 190/16, 130 72 Praha 3",974853710,974853718,p3mopziz@mvcr.cz
MOP Karlín,"Vítkova 266/16, 186 00 Praha 8",974858710,974858883,p3mopkar@mvcr.cz
MOP Kobylisy,"Zenklova 91/225, 182 00 Praha 8",974858720,974858728,p3mopkob@mvcr.cz
MOP Bohnice,"Lodžská 750/5, 181 00 Praha 8",974858730,974858738,p3mopboh@mvcr.cz
MOP Ďáblice,"Bojasova 1242/1, 182 00 Praha 8",974858740,974858748,p3mopdab@mvcr.cz
MOP Libeň,"Zenklova 212/17, 180 00 Praha 8",974858700,974858708,p3moplib@mvcr.cz
MOP Čakovice,"Cukrovarská 230/1, 196 00 Praha 9",974859740,974859748,p3mopcak@mvcr.cz
MOP Horní Počernice,"Náchodská 2032/115 , 193 00 Praha 9",974859750,974859750,p3moppoc@mvcr.cz
MOP Újezd nad Lesy,"Hulická 2620, 190 16 Praha 9",974859770,281973124,p3mopuje@mvcr.cz
MOP Letňany,"Bechyňská 639, 199 00 Praha 9",974859760,974859768,p3moplty@mvcr.cz
MOP Kyje,"Bryksova 817/50, 198 00 Praha 9",974859720,974859728,p3mopkyj@mvcr.cz
MOP Prosek,"Bohušovická 485/10, 190 00 Praha 9",974859730,974859738,p3moppro@mvcr.cz
MOP Vysočany,"Ocelářská 1360/33, 190 00 Praha 9",974859710,974859718,p3mopvys@mvcr.cz
"Územní odbory Praha IV (obvody 4,10)","U plynárny 972/2, 145 04 Praha 4",974854220,974854218,orppraha4@mvcr.cz 
MOP Nusle,"Svatoslavova 288/10, 145 00 Praha 4",974854740,974854748,orp4zrup@mvcr.cz 
MOP Modřany,"Soukalova 3408/1, 143 00 Praha 4",974854730,974854738,orp4zrup@mvcr.cz 
MOP Jižní Město,"Kaplanova 2056/6, 148 00 Praha 4",974887700,974887708,p4mopjm1@mvcr.cz
MOP Spořilov,"Bojanovická 2848/1, 141 00 Praha 4",974854760,974854768,p4mopspo@mvcr.cz
MOP Lhotka,"Durychova 671/40, 142 00 Praha 4",974854720,974854728,p4moplho@mvcr.cz
MOP Podolí,"Milevská 875/4, 140 00 Praha 4",974854600,974854608,p4moppod@mvcr.cz
MOP Pankrác,"Na Pankráci 403/9, 140 00 Praha 4",974854750,974854758,p4moppan@mvcr.cz
MOP Vršovice,"Přípotoční 300/12, 101 33 Praha 10",974860700,974860708,p4mopvrs@mvcr.cz
MOP Hostivař,"Milánská 419, 109 00 Praha 10",974860720,974860728,orp4zrup@mvcr.cz 
MOP Zahradní Město,"Jabloňová 3000/15, 106 00 Praha 10",974860740,974860748,p4mopzah@mvcr.cz
MOP Strašnice,"V zátočce 42/1, 100 00 Praha 10",974860730,974860738,p4mopstr@mvcr.cz
