Kod,ÚTVAR,ADRESA,TELEFON,FAX,EMAIL
0000,Krajské ředitelství policie hlavního města Prahy,"Kongresová 1666/2, 140 21 Praha 4",974821111,974825275,phars@mvcr.cz
0011,"Územní odbor Praha I (obvody 1,6,7)","Bartolomějská 312/6, 110 00 Praha 1",974821111,974825275,orkrpi@mvcr.cz 
001110,MOP Bartolomějská,"Bartolomějská 347/14, 110 00 Praha 1",974851700,974851708,p1mopbar@mvcr.cz
001111,MOP Benediktská,"Benediktská 692/1, 110 00  Praha 1 ",974889210,974889221,p1mopben@mvcr.cz
001112,MOP Malá Strana,"Vlašská 362/3, 110 00 Praha 1",974851730,974851738,p1mopmal@mvcr.cz
001113,MOP Můstek,"Jungmannovo nám. 771/9, 110 00 Praha 1",974851750,974851758,p1mopmus@mvcr.cz
001114,MOP Krakovská,"Krakovská 1432/11, 110 00 Praha 1",974851720,974851728,p1mopkra@mvcr.cz
001115,MOP Břevnov,"Ve Střešovičkách 1990/55, 160 00 Praha 6",974856700,974856708,p1mopbre@mvcr.cz
001116,MOP Dejvice,"Pelléova 1050/21, 160 00 Praha 6",974856740,974856748,p1mopdej@mvcr.cz
001117,MOP Vokovice,"Arabská 782/16, 160 00 Praha 6",974856710,974856718,orkrpI@mvcr.cz 
001118,MOP Řepy,"Makovského 1349/13, 160 00 Praha 6",974856720,974856728,p1moprep@mvcr.cz
001119,MOP Ruzyně,"Aviatická 1050/16, 160 00 Praha 6",974856600,974856608,p1mopruz@mvcr.cz
001120,MOP Holešovice,"Přístavní 1245/41, 170 00 Praha 7",974857710,974857718,p1mophol@mvcr.cz
001121,MOP Letná,"Fr. Křížka 735/24, 170 00 Praha 7",974857700,974857708,p1mopltn@mvcr.cz
001122,MOP Výstaviště,"Výstaviště 67 - budova J, 170 00 Praha 7",974857720,974857728,p1mopvst@mvcr.cz
001150,MOP Masarykovo nádraží,"Havlíčkova 1014/2, 110 00  Praha 1 ",974851740,974851748,p1ozpmas@mvcr.cz 
001151,MOP Holešovické nádraží,"Partyzánská 1546/26, 170 00  Praha 7 ",974857730,974857738,p1ozphol@mvcr.cz 
0012,"Územní odbor Praha II (obvody 2,5)","Sokolská 1799/38, 120 00 Praha 2",974852111,974852458,or2kr@mvcr.cz
001210,MOP Nové Město,"Vyšehradská  1711/20, 120 00 Praha 2",974852710,974852718,p2mopnov@mvcr.cz
001211,MOP Vinohrady,"Šafaříkova 607/12, 120 00 Praha 2",974852720,974852728,p2mopvin@mvcr.cz
001212,MOP Košíře,"Běhounkova 2301/19, 158 00 Praha 5",974855710,974855718,p2mopkos@mvcr.cz
001213,MOP Smíchov,"Na Bělidle 272/5, 150 00 Praha 5",974855700,974855708,p2mopsmi@mvcr.cz 
001214,MOP Barrandov,"Werichova 981/21, 152 00 Praha 5",974855720,974855728,p2mopbrn@mvcr.cz
001215,MOP Radotín,"Výpadová 1335, 153 00 Praha 5",974855730,974855738,p2moprad@mvcr.cz
001216,MOP Stodůlky,"Mukařovského 1985/5, 155 00 Praha 5",974855740,974855748,p2mopsto@mvcr.cz
001217,MOP Zličín,"Strojírenská 386/12, 150 00 Praha 5",974855770,974855778,p2mopzli@mvcr.cz
001250,MOP Wilsonovo nádraží,"Wilsonova třída 300/8, 120 00  Praha 2 ",974852740,974852748,p2opzpwils@mvcr.cz 
001251,MOP Smíchovské nádraží,"Nádražní 279/1, 150 05  Praha 5 ",974855750,257322349,p2ozpsmi@mvcr.cz 
0013,"Územní odbor Praha III (obvody 3,8,9)","Trousilova 1121/3, 182 00 Praha 8",974858229,974858228,redp13@mvcr.cz 
001310,MOP Jarov,"Koněvova 2743/103, 130 00 Praha 3",974853700,974853708,p3mopjar@mvcr.cz
001311,MOP Žižkov,"Lipanská 190/16, 130 72 Praha 3",974853710,974853718,p3mopziz@mvcr.cz
001312,MOP Karlín,"Vítkova 266/16, 186 00 Praha 8",974858710,974858883,p3mopkar@mvcr.cz
001313,MOP Kobylisy,"Zenklova 91/225, 182 00 Praha 8",974858720,974858728,p3mopkob@mvcr.cz
001314,MOP Libeň,"Zenklova 212/17, 180 00 Praha 8",974858700,974858708,p3moplib@mvcr.cz
001315,MOP Bohnice,"Lodžská 750/5, 181 00 Praha 8",974858730,974858738,p3mopboh@mvcr.cz
001316,MOP Ďáblice,"Bojasova 1242/1, 182 00 Praha 8",974858740,974858748,p3mopdab@mvcr.cz
001317,MOP Čakovice,"Cukrovarská 230/1, 196 00 Praha 9",974859740,974859748,p3mopcak@mvcr.cz
