Ostrava,Antošovice,Ostrava-město,Moravskoslezský
Praha,Běchovice,Praha,Praha
Praha,Nová Dubeč,Praha,Praha
Praha,Benice,Praha,Praha
Bojanovice,Bojanovice,Praha-západ,Středočeský
Bojanovice,Pod Dešinami,Praha-západ,Středočeský
Brno,Bosonohy-střed,Brno-město,Jihomoravský
Brno,Brno-hrad Špilberk,Brno-město,Jihomoravský
Brno,Náměstí Svobody,Brno-město,Jihomoravský
Brno,Zelný trh,Brno-město,Jihomoravský
Brno,Janáčkovo divadlo,Brno-město,Jihomoravský
Brno,Pekařská,Brno-město,Jihomoravský
Brno,Fakultní nemocnice,Brno-město,Jihomoravský
Brno,Václavská,Brno-město,Jihomoravský
Brno,Nové Sady,Brno-město,Jihomoravský
Brno,Úvoz,Brno-město,Jihomoravský
Brno,Žlutý kopec,Brno-město,Jihomoravský
Brno,Rybářská,Brno-město,Jihomoravský
Brno,Kamenná,Brno-město,Jihomoravský
Brno,Bakalovo nábřeží,Brno-město,Jihomoravský
Brno,Stráň,Brno-město,Jihomoravský
Brno,Havlenova,Brno-město,Jihomoravský
Brno,Vsetínská,Brno-město,Jihomoravský
Brno,Nákladové nádraží,Brno-město,Jihomoravský
Brno,Heršpická,Brno-město,Jihomoravský
Brno,Ústřední hřbitov,Brno-město,Jihomoravský
Brno,Vinařská,Brno-město,Jihomoravský
Brno,Výstaviště,Brno-město,Jihomoravský
Brno,Neumannova,Brno-město,Jihomoravský
Brno,Kamenomlýnská,Brno-město,Jihomoravský
Brno,Libušino údolí,Brno-město,Jihomoravský
Brno,Anthropos,Brno-město,Jihomoravský
Brno,Myslivna,Brno-město,Jihomoravský
Brno,Červený kopec,Brno-město,Jihomoravský
Brno,Riviéra,Brno-město,Jihomoravský
Brno,Nový Lískovec-sever,Brno-město,Jihomoravský
Brno,Nový Lískovec-jih,Brno-město,Jihomoravský
Brno,Kamenný vrch,Brno-město,Jihomoravský
Brno,Kohoutovice-sever,Brno-město,Jihomoravský
Brno,Vaňkovo náměstí,Brno-město,Jihomoravský
Brno,Náměstí Míru,Brno-město,Jihomoravský
Brno,Rezkova,Brno-město,Jihomoravský
Brno,Gorkého,Brno-město,Jihomoravský
Brno,Konečného náměstí,Brno-město,Jihomoravský
Brno,Kraví hora,Brno-město,Jihomoravský
Brno,Mášova,Brno-město,Jihomoravský
Brno,U stadiónu,Brno-město,Jihomoravský
Brno,Dřevařská,Brno-město,Jihomoravský
Brno,Pod kaštany,Brno-město,Jihomoravský
Brno,Kounicovy koleje,Brno-město,Jihomoravský
Brno,Chládkova,Brno-město,Jihomoravský
Brno,Kameníčkova,Brno-město,Jihomoravský
Brno,Březinova,Brno-město,Jihomoravský
Brno,Elišky Machové,Brno-město,Jihomoravský
Brno,Horova,Brno-město,Jihomoravský
Brno,Makovského náměstí,Brno-město,Jihomoravský
Brno,Žabovřesky-sever,Brno-město,Jihomoravský
Brno,Rosického náměstí,Brno-město,Jihomoravský
Brno,Žabovřesky-louky,Brno-město,Jihomoravský
Brno,Veslařská,Brno-město,Jihomoravský
Brno,Křemelky,Brno-město,Jihomoravský
Brno,Jundrov-střed,Brno-město,Jihomoravský
Brno,Jundrov-sever,Brno-město,Jihomoravský
Brno,Jundrov-jih,Brno-město,Jihomoravský
Brno,Holedná,Brno-město,Jihomoravský
Brno,Kristenova,Brno-město,Jihomoravský
Brno,Jundrovská,Brno-město,Jihomoravský
Brno,Bystrcká,Brno-město,Jihomoravský
Brno,Pastviny,Brno-město,Jihomoravský
Brno,U Svratky,Brno-město,Jihomoravský
Brno,Komínská Chochola,Brno-město,Jihomoravský
Brno,Komín-sever,Brno-město,Jihomoravský
Brno,Padělky,Brno-město,Jihomoravský
Brno,Netopýrky,Brno-město,Jihomoravský
Brno,Třída Kpt. Jaroše,Brno-město,Jihomoravský
Brno,Lužánky,Brno-město,Jihomoravský
Brno,Příční,Brno-město,Jihomoravský
Brno,Bratislavská,Brno-město,Jihomoravský
Brno,Hvězdová,Brno-město,Jihomoravský
Brno,Tkalcovská,Brno-město,Jihomoravský
Brno,Vranovská,Brno-město,Jihomoravský
Brno,Hoblíkova,Brno-město,Jihomoravský
Brno,Schodová,Brno-město,Jihomoravský
Brno,Stadión,Brno-město,Jihomoravský
Brno,Vysoká škola zemědělská,Brno-město,Jihomoravský
Brno,Demlova,Brno-město,Jihomoravský
Brno,Merhautova,Brno-město,Jihomoravský
Brno,Nad arboretem,Brno-město,Jihomoravský
Brno,Krkoškova,Brno-město,Jihomoravský
Brno,Náměstí SNP,Brno-město,Jihomoravský
Brno,Svitavská,Brno-město,Jihomoravský
Brno,Náměstí Republiky,Brno-město,Jihomoravský
Brno,Bratří Mrštíků,Brno-město,Jihomoravský
Brno,Cacovická,Brno-město,Jihomoravský
Brno,Studená,Brno-město,Jihomoravský
Brno,Heleny Malířové-Haškova,Brno-město,Jihomoravský
Brno,Slavíčkova-Ibsenova,Brno-město,Jihomoravský
Brno,Loosova,Brno-město,Jihomoravský
Brno,Špitálka,Brno-město,Jihomoravský
Brno,Radlas,Brno-město,Jihomoravský
Brno,Zábrdovická,Brno-město,Jihomoravský
Brno,Skořepka,Brno-město,Jihomoravský
Brno,Stavební,Brno-město,Jihomoravský
Brno,Masná,Brno-město,Jihomoravský
Brno,Jatky,Brno-město,Jihomoravský
Brno,Přízová,Brno-město,Jihomoravský
Brno,Rosická,Brno-město,Jihomoravský
Brno,Brněnská,Brno-město,Jihomoravský
Brno,Černovické nábřeží,Brno-město,Jihomoravský
Brno,Klášterského,Brno-město,Jihomoravský
Brno,Komárovská,Brno-město,Jihomoravský
Brno,Mariánské náměstí,Brno-město,Jihomoravský
Brno,Hněvkovského,Brno-město,Jihomoravský
Brno,Životského,Brno-město,Jihomoravský
Brno,Klíny,Brno-město,Jihomoravský
Brno,Rokycanova,Brno-město,Jihomoravský
Brno,Vančurova,Brno-město,Jihomoravský
Brno,Nopova,Brno-město,Jihomoravský
Brno,Vinohrady,Brno-město,Jihomoravský
Brno,Balbínova,Brno-město,Jihomoravský
Brno,Akáty,Brno-město,Jihomoravský
Brno,Podsednická,Brno-město,Jihomoravský
Brno,Markéty Kuncové,Brno-město,Jihomoravský
Brno,Skorkovského,Brno-město,Jihomoravský
Brno,Sídliště Juliánov,Brno-město,Jihomoravský
Brno,Bílá hora,Brno-město,Jihomoravský
Brno,Tržní,Brno-město,Jihomoravský
Brno,Charbulova,Brno-město,Jihomoravský
Brno,Slámova,Brno-město,Jihomoravský
Brno,Kneslova,Brno-město,Jihomoravský
Brno,Léčebný ústav,Brno-město,Jihomoravský
Brno,Faměrovo náměstí,Brno-město,Jihomoravský
Brno,Hájecká,Brno-město,Jihomoravský
Brno,Černovická terasa,Brno-město,Jihomoravský
Brno,Pod vlárskou tratí,Brno-město,Jihomoravský
Brno,Černovičky-Podstránská,Brno-město,Jihomoravský
Brno,Stránská skála,Brno-město,Jihomoravský
Brno,Skřivanova,Brno-město,Jihomoravský
Brno,Ptašínského,Brno-město,Jihomoravský
Brno,Staňkova,Brno-město,Jihomoravský
Brno,Červený mlýn,Brno-město,Jihomoravský
Brno,Cimburkova-Antonína Macka,Brno-město,Jihomoravský
Brno,Vysoká škola veterinární,Brno-město,Jihomoravský
Brno,Vackova,Brno-město,Jihomoravský
Brno,Poděbradova,Brno-město,Jihomoravský
Brno,Berkova,Brno-město,Jihomoravský
Brno,Mojmírovo náměstí,Brno-město,Jihomoravský
Brno,Křižíkova,Brno-město,Jihomoravský
Brno,Pod pražskou tratí,Brno-město,Jihomoravský
Brno,Divišova čtvrť,Brno-město,Jihomoravský
Brno,Pod Palackého vrchem,Brno-město,Jihomoravský
Brno,Herčíkova,Brno-město,Jihomoravský
Brno,Palackého,Brno-město,Jihomoravský
Brno,Myslínova,Brno-město,Jihomoravský
Brno,Kociánka,Brno-město,Jihomoravský
Brno,Zaječí hora,Brno-město,Jihomoravský
Brno,Kociánka-Hamerláky,Brno-město,Jihomoravský
Brno,Střelecký stadión,Brno-město,Jihomoravský
Brno,Banskobystrická,Brno-město,Jihomoravský
Brno,U Kuřimské,Brno-město,Jihomoravský
Brno,Sídliště Žitná-Kuřimská,Brno-město,Jihomoravský
Brno,Družstevní,Brno-město,Jihomoravský
Brno,Pod Malou Babou,Brno-město,Jihomoravský
Brno,Žilkova,Brno-město,Jihomoravský
Brno,Palackého náměstí,Brno-město,Jihomoravský
Brno,Sídliště Hapalova,Brno-město,Jihomoravský
Brno,Dolnice,Brno-město,Jihomoravský
Brno,Řečkovice-nádraží,Brno-město,Jihomoravský
Brno,Řečkovický mlýn,Brno-město,Jihomoravský
Brno,Kobylín,Brno-město,Jihomoravský
Brno,Tumaňanova,Brno-město,Jihomoravský
Brno,Sídliště Jabloňová,Brno-město,Jihomoravský
Brno,Vozovna Medlánky,Brno-město,Jihomoravský
Brno,Náměstí Odboje,Brno-město,Jihomoravský
Brno,Kytnerova,Brno-město,Jihomoravský
Brno,Bosně,Brno-město,Jihomoravský
Brno,Náměstí 28. dubna,Brno-město,Jihomoravský
Brno,Přístavní,Brno-město,Jihomoravský
Brno,Bystrc-jih,Brno-město,Jihomoravský
Brno,Údolí oddechu,Brno-město,Jihomoravský
Brno,Mniší hora,Brno-město,Jihomoravský
Brno,Vejrostova,Brno-město,Jihomoravský
Brno,Rakovec,Brno-město,Jihomoravský
Brno,Kozí horka-Chochola,Brno-město,Jihomoravský
Brno,Myslivna-Obora,Brno-město,Jihomoravský
Brno,Hrad Veveří,Brno-město,Jihomoravský
Brno,Kočičí žleb,Brno-město,Jihomoravský
Brno,Polesí Žebětín,Brno-město,Jihomoravský
Brno,Pohádka máje,Brno-město,Jihomoravský
Brno,Kníničky,Brno-město,Jihomoravský
Brno,Sokolské koupaliště,Brno-město,Jihomoravský
Brno,Líchy,Brno-město,Jihomoravský
Brno,Trnůvka,Brno-město,Jihomoravský
Brno,Pod Trnůvkou,Brno-město,Jihomoravský
Brno,Zouvalka,Brno-město,Jihomoravský
