id,ZSJ,Obec,Okres,Kraj,ORP
6866,Bojanovice,Bojanovice,Praha-západ,Středočeský,OOP Černošice
6874,Pod Dešinami,Bojanovice,Praha-západ,Středočeský,OOP Černošice
12971,Brtnička,Brtnička,Jihlava,Vysočina,OOP Jihlava
19968,Černá za Bory,Pardubice,Pardubice,Pardubický,OOP Pardubice
19976,Drozdice,Pardubice,Pardubice,Pardubický,OOP Pardubice
19984,Mnětice,Pardubice,Pardubice,Pardubický,OOP Pardubice
19992,Staročernsko,Pardubice,Pardubice,Pardubický,OOP Pardubice
20001,Žižín,Pardubice,Pardubice,Pardubický,OOP Pardubice
31071,Malé Doubí,Liberec,Liberec,Liberecký,OOP Liberec
31089,Doubí,Liberec,Liberec,Liberecký,OOP Liberec
31097,Hluboká,Liberec,Liberec,Liberecký,OOP Liberec
31101,Pilínkov,Liberec,Liberec,Liberecký,OOP Liberec
32255,Dražkovice,Pardubice,Pardubice,Pardubický,OOP Pardubice
32638,Droždín,Olomouc,Olomouc,Olomoucký,OOP Olomouc
36561,Pelhřimov,Cheb,Cheb,Karlovarský,OOP Cheb
36579,Háje,Cheb,Cheb,Karlovarský,OOP Cheb
36595,Slapany,Cheb,Cheb,Karlovarský,OOP Cheb
41220,Holice,Olomouc,Olomouc,Olomoucký,OOP Olomouc
41238,Městský dvůr,Olomouc,Olomouc,Olomoucký,OOP Olomouc
45993,Hostovice,Pardubice,Pardubice,Pardubický,OOP Pardubice
48879,Hrutov,Hrutov,Jihlava,Vysočina,OOP Jihlava
50822,Bříza,Cheb,Cheb,Karlovarský,OOP Cheb
50831,Cetnov,Cheb,Cheb,Karlovarský,OOP Cheb
50849,Podhoří,Cheb,Cheb,Karlovarský,OOP Cheb
50857,Klest,Cheb,Cheb,Karlovarský,OOP Cheb
50865,Skalka,Cheb,Cheb,Karlovarský,OOP Cheb
50873,Střížov,Cheb,Cheb,Karlovarský,OOP Cheb
50881,U nemocnice,Cheb,Cheb,Karlovarský,OOP Cheb
50890,Zlatý vrch,Cheb,Cheb,Karlovarský,OOP Cheb
50903,U Lodní brány,Cheb,Cheb,Karlovarský,OOP Cheb
50911,Cheb-historické jádro I,Cheb,Cheb,Karlovarský,OOP Cheb
50920,Cheb-historické jádro II,Cheb,Cheb,Karlovarský,OOP Cheb
50938,U Zátiší,Cheb,Cheb,Karlovarský,OOP Cheb
50946,Klášterní dvůr,Cheb,Cheb,Karlovarský,OOP Cheb
50954,U Horní brány,Cheb,Cheb,Karlovarský,OOP Cheb
50962,Pod Horní branou,Cheb,Cheb,Karlovarský,OOP Cheb
50971,Zahrádky,Cheb,Cheb,Karlovarský,OOP Cheb
50989,U stadiónu,Cheb,Cheb,Karlovarský,OOP Cheb
50997,U nádraží,Cheb,Cheb,Karlovarský,OOP Cheb
51004,Nádraží,Cheb,Cheb,Karlovarský,OOP Cheb
51012,Za nádražím,Cheb,Cheb,Karlovarský,OOP Cheb
51021,Hradiště-průmyslový obvod,Cheb,Cheb,Karlovarský,OOP Cheb
51047,Maškov,Cheb,Cheb,Karlovarský,OOP Cheb
51055,Dolní Dvory,Cheb,Cheb,Karlovarský,OOP Cheb
51063,Horní Dvory,Cheb,Cheb,Karlovarský,OOP Cheb
51071,Dřenice,Cheb,Cheb,Karlovarský,OOP Cheb
51080,Jesenická přehrada,Cheb,Cheb,Karlovarský,OOP Cheb
51098,Za klášterem,Cheb,Cheb,Karlovarský,OOP Cheb
52418,Chomoutov,Olomouc,Olomouc,Olomoucký,OOP Olomouc
60160,Jílovice,Jílovice,Hradec Králové,Královéhradecký,OOP Hradec Králové
66991,Brodce,Kněžice,Jihlava,Vysočina,OOP Jihlava
67008,Kněžice,Kněžice,Jihlava,Vysočina,OOP Jihlava
67016,Rychlov,Kněžice,Jihlava,Vysočina,OOP Jihlava
67024,U rybníka Strážov,Kněžice,Jihlava,Vysočina,OOP Jihlava
67032,Víska,Kněžice,Jihlava,Vysočina,OOP Jihlava
