Obec/město/KATASTR,Okres,Kraj,PČR útvar,Číslo katastru,Původní (chybné) zařazení/Poznámka,PRIORITA
Praha,Praha,Hlavní město Praha,KŘP Praha,,,
Brno,Brno-město,Jihomoravský kraj,MŘ Brno,,,
Ostrava,Ostrava-město,Moravskoslezský kraj,MŘ Ostrava,,,
Plzeň,Plzeň-město,Plzeňský kraj,MŘ Plzeň,,,
Aš,Cheb,Karlovarský kraj,OOP Aš,,,
Hranice,Cheb,Karlovarský kraj,OOP Aš,,,
Krásná,Cheb,Karlovarský kraj,OOP Aš,,,
Podhradí,Cheb,Karlovarský kraj,OOP Aš,,,
Bechyně,Tábor,Jihočeský kraj,OOP Bechyně,,,
Bečice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Březnice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Černýšovice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Dobronice u Bechyně,Tábor,Jihočeský kraj,OOP Bechyně,,,
Haškovcova Lhota,Tábor,Jihočeský kraj,OOP Bechyně,,,
Hodětín,Tábor,Jihočeský kraj,OOP Bechyně,,,
Hodonice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Malšice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Opařany,Tábor,Jihočeský kraj,OOP Bechyně,,,
Radětice,Tábor,Jihočeský kraj,OOP Bechyně,,,
Rataje,Tábor,Jihočeský kraj,OOP Bechyně,,,
Řepeč,Tábor,Jihočeský kraj,OOP Bechyně,,,
Stádlec,Tábor,Jihočeský kraj,OOP Bechyně,,,
Sudoměřice u Bechyně,Tábor,Jihočeský kraj,OOP Bechyně,,,
Záhoří,Tábor,Jihočeský kraj,OOP Bechyně,,,
Bečov nad Teplou,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Chodov,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
CIHELNY,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,631043,OOP Karlovy Vary,2
Kolová,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Pila,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Stanovice,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Teplička,Karlovy Vary,Karlovarský kraj,OOP Bečov nad Teplou,,,
Bělá pod Bezdězem,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Boreč,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Březovice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Čistá,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Dolní Krupá,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,OOP Mnichovo Hradiště,2
Doubravička,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Katusice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Kluky,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Kováň,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Kovanec,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Krásná Ves,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Niměřice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Pětikozly,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Plužná,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Skalsko,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Strenice,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Sudoměř,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Velké Všelisy,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Vrátno,Mladá Boleslav,Středočeský kraj,OOP Bělá pod Bezdězem,,,
Benátky nad Jizerou,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Bezno,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,OOP Bělá pod Bezdězem,2
Brodce,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Chotětov,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Dolní Slivno,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Hlavenec,Praha-východ,Středočeský kraj,OOP Benátky nad Jizerou,,,
Horky nad Jizerou,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Horní Slivno,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Hrušov,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Kochánky,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Košátky,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Kostelní Hlavno,Praha-východ,Středočeský kraj,OOP Benátky nad Jizerou,,,
Kropáčova Vrutice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Mečeříž,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Nemyslovice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Předměřice nad Jizerou,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Sedlec,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Skorkov,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Sojovice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Sovínky,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,OOP Bělá pod Bezdězem,2
Sudovo Hlavno,Praha-východ,Středočeský kraj,OOP Benátky nad Jizerou,,,
Tuřice,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Zdětín,Mladá Boleslav,Středočeský kraj,OOP Benátky nad Jizerou,,,
Benešov,Benešov,Středočeský kraj,OOP Benešov,,,
Bystřice,Benešov,Středočeský kraj,OOP Benešov,,,
Chlístov,Benešov,Středočeský kraj,OOP Benešov,,,
Chrášťany,Benešov,Středočeský kraj,OOP Benešov,,,
Struhařov,Benešov,Středočeský kraj,OOP Benešov,,,
Václavice,Benešov,Středočeský kraj,OOP Benešov,,,
Benešov nad Ploučnicí,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Dobrná,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Dolní Habartice,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
Františkov nad Ploučnicí,Děčín,Ústecký kraj,OOP Benešov nad Ploučnicí,,,
