"_ID,N,24,5","_ID,N,24,5","_GEO,C,192","_KOD_LAU2,N,10,0",OBEC_kod,Obec,Castobce_dil_kod,Castobce_dil,ZSJ_kod,ZSJ,Obvykle_bydlici,Trvale_bydlici,Kraj_kod,Kraj,Okres_kod,Okres,ORP_kod,ORP,OOP
60119.0,60119.0,Radlík,539333.0,539333,Jílové u Prahy,60119,Radlík,60119,Radlík,625,573,CZ020,Středočeský,CZ020A,Praha-západ,2105,Černošice,OOP Jílové u Prahy
185981.0,185981.0,Vrbičany,571431.0,571431,Vrbičany,185981,Vrbičany,185981,Vrbičany,213,227,CZ020,Středočeský,CZ0203,Kladno,2124,Slaný,OOP Zlonice
84204.0,84204.0,Vilémovec,569046.0,569046,Lipnice nad Sázavou,84204,Vilémovec,84204,Vilémovec,32,35,CZ063,Vysočina,CZ0631,Havlíčkův Brod,6102,Havlíčkův Brod,OOP Světlá nad Sázavou
15458.0,15458.0,Budíškovice,546038.0,546038,Budíškovice,15458,Budíškovice,15458,Budíškovice,530,492,CZ031,Jihočeský,CZ0313,Jindřichův Hradec,3104,Dačice,OOP Dačice
41807.0,41807.0,Nová Ves,563064.0,563064,Hora Svatého Šebestiána,41807,Nová Ves,41807,Nová Ves,103,98,CZ042,Ústecký,CZ0422,Chomutov,4203,Chomutov,OOP Chomutov Černovická
34703.0,34703.0,Františky,571661.0,571661,Krouna,34703,Františky,34703,Františky,46,46,CZ053,Pardubický,CZ0531,Chrudim,5302,Hlinsko,OOP Hlinsko
313581.0,313581.0,Sídliště Hraničář,584649.0,584649,Mikulov,412139,Mikulov,313581,Sídliště Hraničář,843,853,CZ064,Jihomoravský,CZ0644,Břeclav,6211,Mikulov,OOP Mikulov
43257.0,43257.0,Dolní Lhota,530212.0,530212,Načeradec,43257,Dolní Lhota,43257,Dolní Lhota,57,61,CZ020,Středočeský,CZ0201,Benešov,2125,Vlašim,OOP Čechtice
58271.0,58271.0,Broučkova Lhota,552461.0,552461,Chotoviny,58271,Broučkova Lhota,58271,Broučkova Lhota,9,14,CZ031,Jihočeský,CZ0317,Tábor,3112,Tábor,OOP Mladá Vožice
113042.0,113042.0,Oselce,558184.0,558184,Oselce,113042,Oselce,113042,Oselce,196,195,CZ032,Plzeňský,CZ0324,Plzeň-jih,3207,Nepomuk,OOP Nepomuk
65544.0,65544.0,Korkusova Huť,550647.0,550647,Vimperk,65544,Korkusova Huť,65544,Korkusova Huť,14,14,CZ031,Jihočeský,CZ0315,Prachatice,3116,Vimperk,OOP Vimperk
148016.0,148016.0,Skalička,570800.0,570800,Skalice,148016,Skalička,148016,Skalička,166,147,CZ052,Královéhradecký,CZ0521,Hradec Králové,5205,Hradec Králové,OOP Holohlavy
129372.0,129372.0,Petřiny II,554782.0,554782,Praha,400416,Břevnov (Praha 6),129372,Petřiny II,3163,2652,CZ010,Praha,CZ0100,Praha,x,(Praha)
304719.0,304719.0,Jižní svahy,595411.0,595411,Bystřice nad Pernštejnem,412899,Bystřice nad Pernštejnem,304719,Jižní svahy,1440,1498,CZ063,Vysočina,CZ0635,Žďár nad Sázavou,6101,Bystřice nad Pernštejnem,OOP Bystřice nad Pernštejnem
166073.0,166073.0,Pod hvězdárnou,567442.0,567442,Teplice,409243,Teplice,166073,Pod hvězdárnou,1015,1002,CZ042,Ústecký,CZ0426,Teplice,4213,Teplice,OOP Teplice
125318.0,125318.0,Police,544621.0,544621,Police,125318,Police,125318,Police,537,571,CZ072,Zlínský,CZ0723,Vsetín,7210,Valašské Meziříčí,OOP Valašské Meziříčí
169731.0,169731.0,Třebíč-historické jádro,590266.0,590266,Třebíč,412503,Vnitřní Město,169731,Třebíč-historické jádro,377,1088,CZ063,Vysočina,CZ0634,Třebíč,6113,Třebíč,OOP Třebíč
